Sno,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,XRP,XRP,8/5/2013 23:59,0.006,0.0056,0.0059,0.0056,0,"43,879,157.32"
2,XRP,XRP,8/6/2013 23:59,0.0057,0.0046,0.0056,0.0047,0,"36,591,007.74"
3,XRP,XRP,8/7/2013 23:59,0.0047,0.0043,0.0047,0.0044,0,"34,534,120.94"
4,XRP,XRP,8/8/2013 23:59,0.0044,0.0042,0.0044,0.0043,0,"33,258,632.22"
5,XRP,XRP,8/9/2013 23:59,0.0044,0.0043,0.0043,0.0043,0,"33,547,503.24"
